,Retweets,Favorites,Followers,ScreenName,Text
11673,20588,53705,12697582,AOC,"And just like that, the Congressional oversight provisions for the 1/2 TRILLION dollar Wall St slush fund (which were *already* too weak) are tossed away the day the bill is signed.

This is a frightening amount of public money to have given a corrupt admin w/ 0 accountability. https://t.co/yhL62fj58R"
7095,4647,27451,12689312,5SOS,"New Wildflower / CALM merch bundles on sale now in the US 🌸 $1 from every purchase will go to the Plus1 fund, set-up to support those in our community most at risk from the COVID 19 pandemic. 
https://t.co/wD9X7XxRjW https://t.co/YEkr0SFcot"
1744,104,673,12662992,aajtak,"पूरे दुनिया में कोरोना फ़ैलाने वाले पहले मरीज़ की हुई पहचान!

https://t.co/a3CeSQxKxL"
12813,1207,8845,12662991,aajtak,"हिंदु- मुस्लिम की एकता की मिसाल 

https://t.co/LemNYTCt2L"
1979,167,1372,12565939,g1,"Alan Merrill, compositor de 'I love rock 'n' roll', morre aos 69 anos devido ao coronavírus https://t.co/mCAzCMlWTH #G1 #coronavirus https://t.co/XeTWtyKJAd"
10937,17,28,12481341,XHNews,"Trump extends national social distancing guidelines to April 30 to slow spread of #COVID19.
COVID-19 death rate in U.S. likely to peak in two weeks, he says https://t.co/RB6SD2BJ78 https://t.co/dXJyuYWn2E"
1897,2969,6972,12265730,cnni,"#FareedsTake: “At some point we Americans must look at the facts and recognize an uncomfortable reality. The United States is on track to to have the worst outbreak of coronavirus among wealthy countries, largely because of the ineffectiveness of its government.” https://t.co/LQTx6MGB6x"
12040,153,277,12265723,cnni,"If you or a family member is showing symptoms of Covid-19, here's how to properly isolate https://t.co/jdyamI9SXb"
2086,47,84,12246179,BBCNews,Coronavirus: Trump extends restrictions beyond Easter https://t.co/FqwVg4MzT9
5090,302,439,12246164,BBCNews,"1,228 people have died in the UK after testing positive for coronavirus, a rise of 209 in a day

https://t.co/BXQ32C11FK https://t.co/ktych3e2sT"
6912,409,489,12246164,BBCNews,"This is why social distancing is so important

https://t.co/EAg6GkhCrL https://t.co/KLFRbltpF8"
5639,660,2148,12246164,BBCNews,Coronavirus: Mercedes F1 to make breathing aid https://t.co/m0qWj7DD0m
3964,47,72,12246164,BBCNews,Coronavirus doctor's diary: Why are people stealing hospital supplies? https://t.co/psXmkLm78A
10733,2436,10369,12159935,SenSanders,We are the only major country not to guarantee paid medical leave—that is beyond pathetic. We need to provide it for every worker in America. https://t.co/6IeSREcUY5
12170,1860,6183,12159934,SenSanders,"Working families could face a 40% increase in their premiums as they’re dealing with this pandemic.

America's for-profit insurance industry is not compatible with health care as a human right. 

Now is not the time for greed. Now is the time for Medicare for All. https://t.co/JlxciXuSMi"
9164,3445,9906,12159930,SenSanders,"Palestinians in Gaza already faced hardship under a blockade. Now they're dealing with the coronavirus.

My Senate colleagues and I call on Trump to send U.S. medical relief. And the Israeli government must also lift its restrictions on humanitarian aid. https://t.co/WeLRY72KLq"
3253,1978,5923,12159927,SenSanders,How do the geniuses at Trump’s EPA respond to Americans dealing with a deadly respiratory disease? They allow power plants and factories to spew even more air pollution! Absolutely obscene. https://t.co/V2sUFPDtva
3451,3860,18988,12159927,SenSanders,"We will not tolerate our people going bankrupt to get treated for coronavirus or any other damn illness.

We need Medicare for All. https://t.co/n8zKK4WXVo"
5015,279,4241,12107347,realmadriden,"😎⚽ Ballin’ at home... Spanish Super Cup-style!
@ToniKroos | #TonisHomeChallenge | #StayHome https://t.co/75o8LJ8gzh"
8150,790,5385,11674973,smritiirani,This thread 🙏 https://t.co/XDEAKiKocJ
4077,121,1004,11351684,MarcAnthony,¡Mi gente! Vamos a cuidarnos. Vale la pena quedarnos en casa disfrutando de la música. Check out this Playlist #QuedateEnCasa #StayHome #StaySafe 👉🏻👉🏻 🎶  https://t.co/R8pe5QVE5F https://t.co/dfGSgGAJHd
6367,60,1555,11181351,JKCorden,This is so sad. Thoughts are with you Susan and with Maria’s family. https://t.co/rQgG5urnbx
12210,3573,15668,11123232,ABPNews,"#Coronavirus | @BeingSalmanKhan करेंगे दिहाड़ी मजदूरों की आर्थिक सहायता, मांगे 25 हजार मजदूरों की बैंक अकाउंट डिटेल्स

(रिपोर्ट: @ravijain0701)

#StayHome #CoronaKoDhona 

https://t.co/JSPsTdSAuJ"
655,1677,6992,10630321,maddow,“Coronavirus Slowdown in Seattle Suggests Restrictions Are Working” https://t.co/5Hko0AgiBW
4454,2897,22570,10345434,Luke5SOS,Dollar from each sale goes to the plus one fund to help people affected or at risk of COVID -19.
12457,1091,5148,10327964,IvankaTrump,"The @WhiteHouse &amp; @CDCgov, in partnership w/ @Apple, have launched a new COVID-19 website + app that will provide a screening tool for #CoronavirusSymptoms as well as latest information from trusted sources about the coronavirus outbreak. Check it out ⬇️ https://t.co/6BAVg0avSl"
7490,3198,18893,10327964,IvankaTrump,"God bless the frontline workers selflessly serving their communities during the #COVID19 crisis.

Thank you to the health care workers, first responders, nurses, grocery store employees, truck drivers &amp; more who are stepping up to keep us safe during these unprecedented times. 💛 https://t.co/wNZKTTBRkR"
11188,12233,45513,10303904,Swamy39,"For the remainder of the 21 days Lockdown, we cannot afford two governments in the same city. Hence, the Delhi govt must be suspended and all logistics must be handed over to the Army. Delhi Police can tackle crime issues and assist the army in logistics."
10726,1225,4399,10303903,Swamy39,"No need to panic, COVID-19 is something we can easily conquer: Padma Bhushan Dr D Nageshwar Reddy   https://t.co/xUYflXhhxB via @NewIndianXpress"
